"Sku","Name","Width","Length","Height","Weight","Quantity","PartNumber","StockThreshold","LeadTime"
"SKU110","Custom RC Controller Grip - Blue","5.0","10.0","2.0","0.020","1","","","96:00:00"
"SKU111","Custom RC Controller Grip - Black","5.0","10.0","2.0","0.020","1","","","96:00:00"
"SKU112","Custom RC Controller Grip - White","5.0","10.0","2.0","0.020","1","","","96:00:00"
"SKU113","RC Car Drift Tires - White","6.0","6.0","3.0","0.200","4","","","96:00:00"
"SKU114","RC Car Drift Tires - Black","6.0","6.0","3.0","0.200","4","","","96:00:00"
"SKU115","RC Car Drift Tires - Red","6.0","6.0","3.0","0.200","4","","","96:00:00"
"SKU116","RC Car Drift Tires - Blue","6.0","6.0","3.0","0.200","4","","","96:00:00"
"SKU117","Custom RC Car LED Kit - Blue","0.5","30.0","0.2","0.015","1","","","96:00:00"
"SKU118","Custom RC Car LED Kit - Red","0.5","30.0","0.2","0.015","1","","","96:00:00"
"SKU119","Custom RC Car LED Kit - White","0.5","30.0","0.2","0.015","1","","","96:00:00"
"SKU120","Custom RC Car LED Kit - Yellow","0.5","30.0","0.2","0.015","1","","","96:00:00"
"SKU121","RC Car Roll Cage - Black","20.0","15.0","10.0","0.350","1","","","120:00:00"
"SKU122","RC Car Roll Cage - Red","20.0","15.0","10.0","0.350","1","","","120:00:00"
"SKU123","RC Car Roll Cage - Blue","20.0","15.0","10.0","0.350","1","","","120:00:00"
"SKU124","Custom RC Car Side Mirror Set - Chrome","2.0","4.0","1.0","0.010","2","","","72:00:00"
"SKU125","Custom RC Car Side Mirror Set - Black","2.0","4.0","1.0","0.010","2","","","72:00:00"
"SKU126","RC Car Roof Rack - Black","15.0","20.0","4.0","0.200","1","","","96:00:00"
"SKU127","RC Car Roof Rack - Silver","15.0","20.0","4.0","0.200","1","","","96:00:00"
"SKU128","Custom FPV Antenna Cover - Red","1.5","5.0","1.5","0.005","1","","","72:00:00"
"SKU129","Custom FPV Antenna Cover - Blue","1.5","5.0","1.5","0.005","1","","","72:00:00"
"SKU130","Custom FPV Antenna Cover - Black","1.5","5.0","1.5","0.005","1","","","72:00:00"
"SKU131","Custom FPV Antenna Cover - Yellow","1.5","5.0","1.5","0.005","1","","","72:00:00"
"SKU132","Custom FPV Drone Arm Skins - Red","15.0","2.0","0.1","0.010","4","","","72:00:00"
"SKU133","Custom FPV Drone Arm Skins - Blue","15.0","2.0","0.1","0.010","4","","","72:00:00"
"SKU134","Custom FPV Drone Arm Skins - Black","15.0","2.0","0.1","0.010","4","","","72:00:00"
"SKU135","Custom FPV Drone Arm Skins - White","15.0","2.0","0.1","0.010","4","","","72:00:00"
"SKU136","RC Car Mud Flap Set - Black","10.0","5.0","0.5","0.030","2","","","96:00:00"
"SKU137","RC Car Mud Flap Set - Red","10.0","5.0","0.5","0.030","2","","","96:00:00"
"SKU138","RC Car Mud Flap Set - Blue","10.0","5.0","0.5","0.030","2","","","96:00:00"
"SKU139","RC Car Mud Flap Set - Yellow","10.0","5.0","0.5","0.030","2","","","96:00:00"
"SKU140","Custom FPV Goggle Strap - Red","5.0","50.0","0.3","0.025","1","","","72:00:00"
"SKU141","Custom FPV Goggle Strap - Blue","5.0","50.0","0.3","0.025","1","","","72:00:00"
"SKU142","Custom FPV Goggle Strap - Black","5.0","50.0","0.3","0.025","1","","","72:00:00"
"SKU143","Custom FPV Goggle Strap - White","5.0","50.0","0.3","0.025","1","","","72:00:00"
"SKU144","RC Car Door Handle Set - Chrome","2.0","4.0","1.0","0.015","4","","","72:00:00"
"SKU145","RC Car Door Handle Set - Black","2.0","4.0","1.0","0.015","4","","","72:00:00"
"SKU146","RC Car Door Handle Set - Red","2.0","4.0","1.0","0.015","4","","","72:00:00"
"SKU147","RC Car Door Handle Set - Blue","2.0","4.0","1.0","0.015","4","","","72:00:00"
"SKU148","Custom FPV Goggle Faceplate - Red","15.0","10.0","3.0","0.060","1","","","96:00:00"
"SKU149","Custom FPV Goggle Faceplate - Blue","15.0","10.0","3.0","0.060","1","","","96:00:00"
"SKU150","Custom FPV Goggle Faceplate - Black","15.0","10.0","3.0","0.060","1","","","96:00:00"
